timestamp,virtual_date,weekday,iteration,stock_id,person_id,type,price,quantity,status
1764540531540,0,0,0,0,-1,sell,180,45,closed
1764540531553,0,0,0,1,-1,sell,140,66,closed
1764540531567,0,0,0,2,-1,sell,200,169,closed
1764540531599,0,0,0,2,7,buy,210,8,finished
1764540531612,0,0,0,0,2,buy,189,8,finished
1764540531625,0,0,0,2,1,buy,210,4,finished
1764540531637,0,0,0,0,3,buy,189,7,finished
1764540531650,0,0,0,0,8,buy,189,10,finished
1764540531661,0,0,0,0,4,buy,189,5,finished
1764540531673,0,0,0,0,5,buy,189,10,finished
1764540531687,0,0,0,1,0,buy,147,8,finished
1764540531700,0,0,0,2,6,buy,210,6,finished
1764540531541,0,0,0,0,-1,sell,182.57142857142856,10,finished
1764540531541,0,0,0,0,-1,sell,183.34285714285716,5,finished
1764540531541,0,0,0,0,-1,sell,184.00408163265303,10,finished
1764540531541,0,0,0,0,-1,sell,184.24349049964815,7,finished
1764540531541,0,0,0,0,-1,sell,184.37588249982977,8,finished
1764540531554,0,0,0,1,-1,sell,141.55555555555554,8,finished
1764540531568,0,0,0,2,-1,sell,201.6216216216216,6,finished
1764540531568,0,0,0,2,-1,sell,202.4406224406225,4,finished
1764540531568,0,0,0,2,-1,sell,203.4394039272088,8,finished
1764540531764,0,0,1,0,4,buy,193.59467662482123,5,finished
1764540531778,0,0,1,1,1,buy,148.63333333333333,6,finished
1764540531790,0,0,1,2,5,buy,213.61137412356925,8,finished
1764540531803,0,0,1,1,3,buy,148.63333333333333,9,finished
1764540531816,0,0,1,1,0,buy,148.63333333333333,8,finished
1764540531829,0,0,1,0,7,buy,193.59467662482123,8,finished
1764540531841,0,0,1,0,6,buy,193.59467662482123,6,finished
1764540531854,0,0,1,1,8,buy,148.63333333333333,12,finished
1764540531867,0,0,1,0,2,buy,193.59467662482123,7,finished
1764540531541,0,0,0,0,-1,sell,185.54373232749816,7,finished
1764540531541,0,0,0,0,-1,sell,186.09985129305457,6,finished
1764540531541,0,0,0,0,-1,sell,186.4586377224458,8,finished
1764540531541,0,0,0,0,-1,sell,186.59318263346748,5,finished
1764540531554,0,0,0,1,-1,sell,143.06070707070705,12,finished
1764540531554,0,0,0,1,-1,sell,143.61817059483724,8,finished
