person_id,virtual_date,cash,asset,wealth,work_income,capital_gain,daily_expense,principle
-1,0,0,1705480,1705480,0,0,0,NA
0,0,2077.0092568631953,37369.04,39446.049256863196,500,-550.1200000000015,200,try to maximize profit.
1,0,4203.315508004756,25733.089999999997,29936.405508004755,400,-97.47000000000207,200,try to maximize profit.
2,0,1718.634549067426,47631.16,49349.79454906743,600,-650.2700000000035,200,try to maximize profit.
3,0,34402.04177268452,10581.460000000001,44983.50177268452,550,-16.52000000000004,200,try to maximize profit.
4,0,27100.065674465764,4912.08,32012.145674465763,350,-28.15000000000026,200,try to maximize profit.
5,0,56577.6398566711,3575.8899999999994,60153.5298566711,700,-6.550000000000352,200,try to maximize profit.
6,0,34088.95150597102,5333.860000000001,39422.81150597102,450,-67.50000000000045,200,try to maximize profit.
7,0,48578.63220880934,6210.12,54788.75220880934,600,-100.94000000000051,200,try to maximize profit.
8,0,47220.56837506995,12778.07,59998.63837506995,700,-1.4100000000008208,200,try to maximize profit.
0,1,2193.7770433429414,38616.340000000004,40810.11704334294,500,-235.3600000000016,1030.760985137264,try to maximize profit.
1,1,2162.7594353418376,28624.64,30787.39943534184,400,132.47999999999956,827.6681101600951,try to maximize profit.
2,1,1587.6604546818985,49351.17,50938.8304546819,600,116.1000000000007,1239.9358909813486,try to maximize profit.
3,1,28655.7753600088,15907.4,44563.1753600088,550,122.59999999999877,1110.6100354536902,"Maintain a diversified, volatility-aware portfolio by capping any single-stock position at 8% and any sector at 25%, size new positions inversely to recent price volatility (smaller allocations for higher ATR/variance), keep a 10% cash buffer for opportunistic buys, apply an initial stop-loss of 6% with a 3% trailing stop for profitable positions, automatically reduce overall equity exposure by 10% if the market index falls >2% within an iteration (and pause new buys) and increase exposure by 5% if it rallies >1%, and rebalance every 4 iterations (or at end of day) to enforce these limits and capture momentum shifts."
4,1,23781.059055543847,7688.639999999999,31469.699055543846,350,13.959999999999582,845.3829134893152,"Maintain a diversified portfolio of 6–8 positions across different sectors with no single holding above 20% of capital, size positions so each trade risks ≤2% of portfolio, keep 5–10% cash for opportunistic entries, implement hard stop‑losses at ~10% (switch to a 6% trailing stop after a position moves into profit), stagger take‑profit scales at ~15% and ~30% to lock gains, rebalance at least once per day (or after significant intra‑day moves), and adjust net equity exposure by up to ±10% based on short‑term market‑index trend signals."
5,1,47782.70072777157,11203.1,58985.800727771566,700,64.24999999999926,1406.770597133422,"Diversify capital across at least four sectors with no single-stock position exceeding 10% of the portfolio and sector exposure capped at 30%, maintain an 8% cash buffer, set initial stop-loss orders at 8% with 5% trailing stops, cap high-volatility positions at 15% of portfolio, allow up to 25% allocation to momentum/high-performing names, rebalance every three iterations or when any position deviates by >5% from target, and automatically reduce equity exposure by shifting 10% to cash/defensive assets if the market index falls >2% in a single iteration."
6,1,26973.618559868875,11802.93,38776.548559868876,450,-13.380000000000848,994.3362301194204,"Diversify across at least four sectors, cap any single stock at ≤12% and any sector at ≤30% of the portfolio, use position-size tiers (high conviction 10–12%, medium 5–9%, low ≤5%), keep 10–20% cash for opportunistic buys, rebalance daily or whenever a position deviates >5% from target, apply hard stop-losses at 8% with 5% trailing stops for volatile names, increase cash and defensive weighting if the market index falls below its 20-day moving average and deploy incremental capital to relative-strength stocks when the index is above its 20-day moving average, and continuously trim holdings that breach concentration limits to reduce portfolio volatility."
7,1,44448.999622493604,9435.66,53884.65962249361,600,-7.210000000000321,1302.7750441761868,"At each iteration, cap any single-stock exposure at 12% of portfolio and enforce minimum diversification into at least four sectors, maintain an 8–10% cash buffer, apply volatility-adjusted position sizing (reduce new position sizes for high-volatility stocks), rebalance every 3 iterations or when any holding drifts more than 5% from target, set automatic stop-losses at 7% and trailing take-profits at 12% per position, and shift weight gradually toward sectors showing confirmed momentum while trimming positions that underperform across two consecutive rebalances."
8,1,32853.76703061706,26461.82,59315.58703061706,700,81.37999999999954,1412.872767501399,"Maintain a diversified portfolio with no more than 15% exposure to any single stock and no more than 25% to any one sector, allocate about 55% to a diversified core across sectors, 20% to tactical/opportunistic positions and 25% cash or short-term safe assets as a buffer, use limit orders and dollar-cost-averaging to scale into dips, set initial stop-losses at ~8% and trailing stops of ~10% on winners with partial profit-taking at ~15%, rebalance end-of-day each trading day (and trim risk immediately if the market index falls >2% within an iteration), and cap total leverage at 10% to reduce volatility from concentrated bets."
